food,relationship,disease,evidence
salt,causes,diet- associated health diseases,"In terms of nutrition, a diet high in fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases."
hydrolyzed wheat products,causes,allergy,There are several reports describing allergy to hydrolyzed wheat products.
fish oil,treats,myxomatous mitral valve disease,"A cardiac protection blend (CPB) of nutrients including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (MMVD)."
wheat,causes,allergic reaction,"Wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic symptoms."
salt,causes,hypertension,"Excessive salt intake is an important risk factor of diseases such as hypertension, stroke, and stomach cancer."
ketogenic diet,treats,seizures,The ketogenic diet is an effective alternative therapy used to control intractable seizures.
oil tea,treats,ailments,Oil tea has traditionally been used in minority populations in China for treating various ailments in traditional Chinese medicine.
rice milk,causes,hypoalbuminemia,"Although several cases of severe hypoalbuminemia resulting from rice milk have been described in the past, today the use of rice milk without nutritional counseling to treat eczema is still a continuing, poor practice."
soy foods,treats,cardiometabolic disease,"Consumption of soy foods has been associated with protection against cardiometabolic disease, but the mechanisms are incompletely understood."
sesame oil,treats,joints pain,Sesame oil is an herbal product that has been used to treat the joints pain in several traditional medicines.
lamb,causes,asthma,"In China, lamb and fish are well-known triggers for an asthma attack."
red meat,causes,atherosclerosis,"Recent evidence has also suggested carnitine from red meat, as a precursor for trimethylamine-N-oxide, which has been shown to cause atherosclerosis, may increase the risk of suffering CVD in experimental animals."
watermelon,treats,systolic blood pressure,"Consumption of watermelon has been associated with beneficial effects on metabolism, including reductions in systolic blood pressure, improved fasting blood glucose levels, and changes in hepatic metabolite accumulation."
garlic,treats,colorectal cancer,Garlic and its constituents are reported to have a preventive effect against colorectal cancer in animal models.
wheat flour,causes,allergy,Occupational allergy to components of wheat flour is the main cause of rhinitis and asthma of workers in bakeries and similar activities.
fruit,treats,cardiovascular disease,Fruit and vegetable intake has been associated with a reduced risk of cardiovascular disease.
fruits,treats,nephrolithiasis,"Dietary Approaches to Stop Hypertension (DASH), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry."
butter flavoring vapors,causes,bronchiolitis obliterans,"In 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn production."
coffee beans,treats,ad,"In addition, eicosanoyl-5-hydroxytryptamide (EHT), a naturally occurring component from coffee beans that modulates PP2A methylation, was shown to confer therapeutic benefits in rodent models of AD and Parkinson's disease."
folic acid,treats,neural tube defects,"Consumption of adequate amounts of folic acid by women before pregnancy and during early pregnancy decreases their risk for having a pregnancy affected by neural tube defects (NTDs), the most common preventable type of birth defects worldwide."
mediet,treats,inflammation,"Several clinical, epidemiological and experimental evidences suggest that consumption of the MeDiet reduces the incidence of certain pathologies related to oxidative stress, chronic inflammation and immune system diseases such as cancer, atherosclerosis and cardiovascular disease (CVD)."
extra virgin olive oil,treats,alzheimer's disease,"Consumption of extra virgin olive oil (EVOO), a major component of the Mediterranean diet, has been associated with reduced incidence of Alzheimer's disease (AD)."
saffron,treats,asthma,Saffron has anti-inflammatory effects and may has beneficial effects on asthma.
fruit drinks,causes,asthma,", HFCS-sweetened soda, fruit drinks and apple juice - a high-fructose 100 % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma."
fruit,treats,cognitive decline,"Finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and AD."
inadequate diet,treats,bmd,"Inadequate diet, which may occur in depressed individuals prescribed SSRIs is also associated with decreased BMD."
soybean curd,causes,cognitive impairment,"Paradoxically, the Honolulu Asia Aging Study reported an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake."
nuts,treats,stroke,A recent study confirmed the stroke preventive effect of a Mediterranean diet rich in olive oil and nuts; a ketogenic diet reduces seizure frequency in epilepsy.
garlic supplements,treats,colorectal cancer,"Laboratory studies have provided evidence that allium vegetables and garlic supplements might protect against colorectal cancer (CRC), but epidemiologic studies have produced inconsistent findings."
milk,treats,osteoporosis,Biologically active peptides in milk proteins can be used as effective dietary supplements for management of bone-associated issues including osteoporosis.
broccoli,treats,cancers,"Brassica species, and broccoli in particular, are associated with reduced risk of several important cancers."
cigarette smoke,causes,asthma,Cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer.
olive oil,treats,cognitive decline,"In the French Three-City Study, a ten-year follow-up (2000-2010) showed that higher consumption of olive oil was associated with lower risk of death, as well as protection from cognitive decline and stroke."
cocoa consumption,treats,type 2 diabetes,"Regular cocoa consumption has been shown to improve blood pressure (BP), insulin sensitivity, and lipid levels in patients with type 2 diabetes (T2D), using up to 100 g of chocolate or 54 g of cocoa."
tea,treats,pain,"Dietary polyphenols and other bioactive compounds in berries, curcumin, and tea have shown effects in ameliorating pain and inflammation in OA, but few clinical studies have been reported."
fruit,treats,chronic diseases,"Higher consumption of fruit and vegetables has been associated with a lower risk of various chronic diseases including coronary heart disease, obesity, and certain cancers."
garlic,treats,"colon, lung, and skin cancers","Diallyl disulfide (DADS), a component of garlic (Allium sativum), has been known to exert potent chemopreventative activity against colon, lung, and skin cancers."
p. cauliflora,treats,skin irritations,"The fruits of P. cauliflora are used as food, and almost all parts of this species have long been used as a traditional Brazilian medicine for the treatment of skin irritations, flu, diarrhea, labyrinthitis, genito-urinary problems, and asthma."
coffee,treats,alzheimer's disease,Several epidemiological and preclinical studies supported the protective effect of coffee on Alzheimer's disease (AD).
curcuma longa,treats,inflammatory diseases,"The use of turmeric, derived from the root of the plant Curcuma longa, for treatment of different inflammatory diseases has been described in Ayurveda and in traditional Chinese medicine for thousands of years."
chickpea flour,treats,type 2 diabetes mellitus,Food supplementation with a fiber mix of guar gum and chickpea flour represents a promising approach to reduce the risk of type 2 diabetes mellitus (T2DM) by attenuating postprandial glycemia.
flour,causes,bronchitis,"Symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of 100 workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough and 29.0% with phlegm."
shenzao jiannao oral liquid (szjn),treats,insomnia,"Shenzao jiannao oral liquid (SZJN), a traditional Chinese preparation approved by the China Food and Drug Administration (CFDA), is used for the treatment of insomnia and mind fatigue at present for its efficacy of nourishing kidneys."
dioscorea,treats,diabetes,"Yam (Dioscorea spp.), known as an edible and medicinal tuber crop in China, has been used historically for the treatment of diabetes, diarrhea, asthma, and other ailments in traditional Chinese medicine."
added salt,causes,rhythm disorders,"Saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders."
green tea,treats,infectious diseases,"Catechins, phytochemicals contained mainly in green tea, exhibit antiviral activity against various acute infectious diseases experimentally."
ginger,treats,obesity-related impairments,"Reports have shown that ginger and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating obesity-related impairments in the anti-inflammatory system in different tissues, without side effects."
shiitake mushrooms,causes,flagellate dermatitis,Flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous lesions that are intensely pruritic.
fruit,treats,cardiovascular and cerebrovascular diseases,Fruit and vegetable consumption was considered a protective effect against cardiovascular and cerebrovascular diseases (CVDs).
sugar,causes,chronic diseases,"Epidemiological studies have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type 2 diabetes mellitus, obesity, non-alcoholic fatty liver disease, gout, and rheumatoid arthritis and to worse symptoms in some patients with rheumatoid arthritis."
ketogenic diet,treats,epilepsy,"First identified as a feasible treatment for intractable epilepsy, the ketogenic diet (KD) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also NAFLD, cancer, neurologic conditions and chronic pain."
ultra-processed foods,causes,non-communicable diseases,"There is a causal link between the consumption of ultra-processed foods and a range of non-communicable diseases (NCDs) such as obesity, type 2 diabetes and cancers."
fish oil,treats,asthma,"Maternal dietary interventions during pregnancy with fish oil and high dose vitamin D have been shown to reduce the incidence of asthma and wheeze in offspring, potentially through microbial effects in pregnancy or early childhood."
poor quality of the diets,causes,anemia,"These findings suggest that in rural China, anemia stems from the poor quality of the diets of infants/toddlers, rather than insufficient quantities of food being consumed."
tea consumption,treats,postmenopausal osteoporosis,"Tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis."
garlic,treats,cancer,"Epidemiological evidence indicates that a high dietary intake of plants of the Allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans."
eggplant,causes,oral ulcers,"The most common foods reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe (66.7%)."
ginger,treats,hyperlipidemia,"Ginger (Zingiber officinale Roscoe, Zingiberaceae) has been documented to ameliorate hyperlipidemia, hyperglycemia, oxidative stress, and inflammation."
olive oil,treats,ad,"It has been previously demonstrated that daily intake of hydroxytyrosol (HT), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in AD mice."
fb1-contaminated corn,causes,neural tube defects,A relationship between maternal ingestion of FB1-contaminated corn during early pregnancy and increased risk for neural tube defects (NTDs) has recently been proposed in human populations around the world where corn is a dietary staple.
sucrose,causes,diabetes,"Chocolate milk is one of the most commonly used non-fermentative dairy products, which, due to high level of sucrose, could lead to diabetes and tooth decay among children."
grape extract (ge),treats,lifestyle-related diseases,"Grape extract (GE), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension."
flour,causes,asthmatic reactions,"Bronchial provocation tests by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies."
processed foods,causes,hypertension,Increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among Malaysian populations.
coffee,treats,neurodegenerative diseases,"Our findings strongly suggest that some foods, especially coffee, can act as a rich source of ÃÂÃÂÃÂÃÂ²-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as Parkinson's and Alzheimer's."
symptomatic slow-acting drugs,treats,osteoarthritis,Evidence supports the use of glucosamine and chondroitin as symptomatic slow-acting drugs for osteoarthritis (SYSADOAs) with impact on OA symptoms and disease-modifying effects in the long term.
beans,treats,diabetes,Vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures.
cocoa polyphenols,treats,metabolic disturbances,Cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances.
nuts,treats,chronic disease,"Although a high intake of plant foods such as fruits, vegetables, whole grains, nuts, and legumes has been recommended for chronic disease prevention, it has been unclear what is the optimal amount of intake of these foods and whether specific subtypes are particularly beneficial."
extra virgin olive oil,treats,glycemia,"Oleuropein, a component of extra virgin olive oil (EVOO), reduces post-prandial glycemia with a mechanism counteracting oxidative stress-mediated incretin down-regulation."
fruits,treats,cvd,"CVD can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and fruits, and reducing sugar intake."
curcuma longa,treats,neurodegenerative diseases,"Therefore, novel therapeutic strategies have long been investigated, where curcumin (Curcuma longa) has shown some properties that can prevent the deleterious processes involved in neurodegenerative diseases."
tomato fruit,treats,memory impairment,"ÃÂÃÂÃÂÃÂ²-Amyrin, an ingredient of the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction."
curcuma longa,treats,rheumatoid arthritis,Curcuma longa (CL) or turmeric is an Ayurvedic herb that has been traditionally used to treat inflammatory conditions like rheumatoid arthritis (RA).
red wine,treats,cognitive decline,These effects have been related to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil.
mediterranean diet,treats,sci,"The Mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with SCI."
extra virgin olive oil,treats,joint inflammatory diseases,"Recently, oleocanthal isolated from extra virgin olive oil was found to display nonsteroidal antiinflammatory drug activity similar to that of ibuprofen, a drug widely used in the therapeutic management of joint inflammatory diseases."
salt,causes,nutritional reformulation,"Among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats are important in order to reduce the associated risk of developing chronic diseases, including cardiovascular diseases, diabetes and cancer."
milk consumption,treats,knee osteoarthritis,Observational studies showed inverse associations between milk consumption and knee osteoarthritis (knee OA).
mediterranean diet,treats,bone disease,Mediterranean diet (MD) has shown to prevent bone disease.
functional foods,treats,pathogenic viral infections,"Functional foods optimize the immune system capacity to prevent and control pathogenic viral infections, while physical activity augments such protective benefits."
milk,treats,fracture,"In adult Caucasian women, daily intake of 200-250 ml of milk is associated with a reduction in fracture risk of 5 % or higher."
olive oil,treats,cancers,"Traditional Mediterranean Diet (MD) is associated by the low-prevalence of certain types of cancers and CVDs, where olive oil plays an important role."
rice,causes,allergy,"In rice allergy, proteins with molecular masses of 14-16, 26, 33, and 56 kDa have been demonstrated to be potentially allergenic."
fish,treats,ischemic heart disease,"The low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in Japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids, plant foods such as soybeans, and nonsugar-sweetened beverages such as green tea."
trans-fatty acids,causes,noncommunicable diseases,"Pakistan is among the nations with a high intake of trans-fatty acids (TFAs), a major dietary risk factor of noncommunicable diseases (NCDs)."
fruit of terminalia chebula,treats,ailments,"The fruit of Terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical data demonstrating antioxidant and anti-inflammatory potential."
grape seed proanthocyanidin extract (gspe),treats,hypertension,The development of hypertension (HTN) in cafeteria (CAF) diet-fed rats was demonstrated to be attenuated after grape seed proanthocyanidin extract (GSPE) administration.
crushed garlic,treats,colon cancer,"Here, we identified Z-ajoene, a sulfur containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth."
oats,treats,chronic diseases,Oats products are believed to contain many bioactives that possess potential beneficial properties against chronic diseases.
yogurt,treats,human disease,The judicious use of milk and yogurt could prevent a high proportion of human disease.
dietary virgin olive oil,treats,hypoxia,Recent studies suggest that dietary virgin olive oil reduces hypoxia-reoxygenation injury in rat brain.
garlic,causes,asthma,"Twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust."
ginger,treats,human diseases,"Natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious, diabetes, obesity, metabolic syndromes, and neurological disorders."
dairy products,treats,obesity,"Efficiency of milk and dairy products in treatment of obesity, sclerosis and hypertension has been proved by DASH diet."
milk,treats,hip fracture,"However, there is also evidence of a detrimental effect of milk on the risk of hip fracture."
sodium consumption,causes,chronic disease,"However, population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood."
beans,treats,diabetic,"Common beans have been associated with anti-diabetic effects, due to its high content of bioactive compounds."
coffee consumption,treats,chronic diseases,"Coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as Parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver)."
peas,treats,cardiovascular disease,"Pulses, including peas, are a good source of protein, dietary fiber, folic acid, and iron and are reported to reduce the risk for cardiovascular disease and diabetes."
olive oil),treats,cardiovascular disease,Epidemiological studies suggest that a Mediterranean diet (which is rich in virgin olive oil) decreases the risk of cardiovascular disease.
diet,treats,low-grade inflammation,"Low-grade inflammation is a suggested mechanism in the development of metabolic syndrome (MetS), and diet could act as a regulator."
"date fruit, phoenix dactylifera",treats,ailments,"Date fruit, Phoenix dactylifera L. has traditionally been used as a medicine in many cultures for the treatment of a range of ailments such as stomach and intestinal disorders, fever, oedema, bronchitis and wound healing."
fruits,treats,coronary heart disease,"Adequate consumption of fruits and vegetables has protective benefits against development of coronary heart disease, hypertension and chronic obstructive pulmonary disease."
ginger,treats,asthma,"Curcumin, is a polyphenol from Curcuma longa (turmeric plant), is a polyphenol that belongs to the ginger family which has long been used in Ayurveda medicines to treat various diseases such as asthma, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and Alzheimer's."
lemon,treats,respiratory tract infections,"Natural products like ginger, turmeric, garlic, onion, cinnamon, lemon, neem, basil, and black pepper have been scientifically proven to have therapeutic benefits against acute respiratory tract infections including pulmonary fibrosis, diffuse alveolar damage, pneumonia, and acute respiratory distress syndrome, as well as associated septic shock, lung and kidney injury, all of which are symptoms associated with COVID-19 infection."
nuts,treats,atherosclerosis,"Thus, the inclusion of food sources of dietary antioxidants, such as different kinds of nuts, may improve biomarkers related to oxidative stress, contributing to a possible reduction in atherosclerosis progression."
apple juice,causes,asthma,"Intake of beverages with excess free fructose (EFF), including apple juice, and HFCS sweetened fruit drinks and soft drinks, has been associated with asthma in children."
coffee,treats,pd,"However, some evidence exists regarding a potential protective effect of uric acid, poly-unsaturated fatty acids, coffee, and tea but mainly in men, whereas dairy products, particularly milk, might increase PD risk through contaminant mediated effect."
folic acid fortification,treats,neural tube defects,There is no doubt that folic acid fortification can be effective for reducing the incidence of neural tube defects.
